x,y_pred,y_true_trend
50.0,3251.0342115204753,3252.0
50.1,3251.0342115204753,3269.53202
50.2,3251.0342115204753,3287.1281600000007
50.3,3251.0342115204753,3304.7885399999996
50.4,3251.0342115204753,3322.5132799999997
50.5,3251.0342115204753,3340.3025000000002
50.6,3251.0342115204753,3358.1563200000005
50.7,3251.0342115204753,3376.0748600000006
50.8,3251.0342115204753,3394.05824
50.9,3251.0342115204753,3412.1065799999997
51.0,3251.0342115204753,3430.2200000000003
51.1,3251.0342115204753,3448.3986200000004
51.2,3251.0342115204753,3466.6425600000007
51.3,3251.0342115204753,3484.95194
51.4,3251.0342115204753,3503.3268799999996
51.5,3251.0342115204753,3521.7675
51.6,3251.0342115204753,3540.2739200000005
51.7,3251.0342115204753,3558.8462600000007
51.8,3251.0342115204753,3577.4846399999997
51.9,3251.0342115204753,3596.1891800000003
52.0,3251.0342115204753,3614.96
52.1,3251.0342115204753,3633.79722
52.2,3251.0342115204753,3652.70096
52.3,3251.0342115204753,3671.67134
52.4,3251.0342115204753,3690.70848
52.5,3251.0342115204753,3709.8125
52.6,3251.0342115204753,3728.9835199999998
52.7,3251.0342115204753,3748.2216600000006
52.8,3251.0342115204753,3767.52704
52.9,3251.0342115204753,3786.8997799999997
53.0,3251.0342115204753,3806.34
53.1,3251.0342115204753,3825.8478200000004
53.2,3251.0342115204753,3845.4233600000007
53.3,3251.0342115204753,3865.0667399999993
53.4,3251.0342115204753,3884.7780799999996
53.5,3251.0342115204753,3904.5575
53.6,3251.0342115204753,3924.4051200000004
53.7,3251.0342115204753,3944.3210600000007
53.8,3251.0342115204753,3964.3054399999996
53.9,3251.0342115204753,3984.3583799999997
54.0,3251.0342115204753,4004.4800000000005
54.1,3251.0342115204753,4024.6704200000004
54.2,3251.0342115204753,4044.929760000001
54.3,3251.0342115204753,4065.2581399999995
54.4,3251.0342115204753,4085.6556799999994
54.5,3251.0342115204753,4106.1225
54.6,3251.0342115204753,4126.65872
54.7,3251.0342115204753,4147.26446
54.8,3251.0342115204753,4167.939839999999
54.9,3251.0342115204753,4188.68498
55.0,3251.0342115204753,4209.5
55.1,3251.0342115204753,4230.385020000001
55.2,3251.0342115204753,4251.340160000001
55.3,3251.0342115204753,4272.36554
55.4,3251.0342115204753,4293.4612799999995
55.5,3251.0342115204753,4314.6275000000005
55.6,3251.0342115204753,4335.864320000001
55.7,3251.0342115204753,4357.17186
55.8,3251.0342115204753,4378.55024
55.9,3251.0342115204753,4399.99958
56.0,3251.0342115204753,4421.52
56.1,3251.0342115204753,4443.11162
56.2,3251.0342115204753,4464.774560000001
56.3,3251.0342115204753,4486.508939999999
56.4,3251.0342115204753,4508.31488
56.5,3251.0342115204753,4530.1925
56.6,3251.0342115204753,4552.14192
56.7,3251.0342115204753,4574.163260000001
56.8,3251.0342115204753,4596.25664
56.9,3251.0342115204753,4618.42218
57.0,3251.0342115204753,4640.66
57.1,3251.0342115204753,4662.970220000001
57.2,3251.0342115204753,4685.352960000001
57.3,3251.0342115204753,4707.80834
57.4,3251.0342115204753,4730.33648
57.5,3251.0342115204753,4752.9375
57.6,3251.0342115204753,4775.61152
57.7,3251.0342115204753,4798.358660000001
57.8,3251.0342115204753,4821.179039999999
57.9,3251.0342115204753,4844.07278
58.0,3251.0342115204753,4867.04
58.1,3251.0342115204753,4890.08082
58.2,3251.0342115204753,4913.195360000001
58.3,3251.0342115204753,4936.383739999999
58.4,3251.0342115204753,4959.64608
58.5,3251.0342115204753,4982.9825
58.6,3251.0342115204753,5006.393120000001
58.7,3251.0342115204753,5029.878060000001
58.8,3251.0342115204753,5053.43744
58.9,3251.0342115204753,5077.071379999999
59.0,3251.0342115204753,5100.78
59.1,3251.0342115204753,5124.56342
59.2,3251.0342115204753,5148.42176
59.3,3251.0342115204753,5172.355139999999
59.4,3251.0342115204753,5196.36368
59.5,3251.0342115204753,5220.4475
59.6,3251.0342115204753,5244.60672
59.7,3251.0342115204753,5268.8414600000015
59.8,3251.0342115204753,5293.1518399999995
59.9,3251.0342115204753,5317.53798
60.0,3251.0342115204753,5342.0
60.1,3251.0342115204753,5366.53802
60.2,3251.0342115204753,5391.152160000001
60.3,3251.0342115204753,5415.842539999999
60.4,3251.0342115204753,5440.609279999999
60.5,3251.0342115204753,5465.4525
60.6,3251.0342115204753,5490.3723199999995
60.7,3251.0342115204753,5515.3688600000005
60.8,3251.0342115204753,5540.44224
60.9,3251.0342115204753,5565.5925799999995
61.0,3251.0342115204753,5590.82
61.1,3251.0342115204753,5616.1246200000005
61.2,3251.0342115204753,5641.506560000002
61.3,3251.0342115204753,5666.96594
61.4,3251.0342115204753,5692.50288
61.5,3251.0342115204753,5718.1175
61.6,3251.0342115204753,5743.809920000001
61.7,3251.0342115204753,5769.580260000001
61.8,3251.0342115204753,5795.428639999999
61.9,3251.0342115204753,5821.35518
62.0,3251.0342115204753,5847.360000000001
62.1,3251.0342115204753,5873.443220000001
62.2,3251.0342115204753,5899.604960000001
62.3,3251.0342115204753,5925.845339999999
62.4,3251.0342115204753,5952.1644799999995
62.5,3251.0342115204753,5978.5625
62.6,3251.0342115204753,6005.039520000001
62.7,3251.0342115204753,6031.595660000001
62.8,3251.0342115204753,6058.23104
62.9,3251.0342115204753,6084.94578
63.0,3251.0342115204753,6111.740000000001
63.1,3251.0342115204753,6138.6138200000005
63.2,3251.0342115204753,6165.567360000001
63.3,3251.0342115204753,6192.600739999999
63.4,3251.0342115204753,6219.714080000001
63.5,3251.0342115204753,6246.9075
63.6,3251.0342115204753,6274.18112
63.7,3251.0342115204753,6301.535060000001
63.8,3251.0342115204753,6328.969439999999
63.9,3251.0342115204753,6356.48438
64.0,3251.0342115204753,6384.08
64.1,3251.0342115204753,6411.756419999998
64.2,3251.0342115204753,6439.513760000002
64.3,3251.0342115204753,6467.352139999999
64.4,3251.0342115204753,6495.271680000002
64.5,3251.0342115204753,6523.2725
64.6,3251.0342115204753,6551.354719999998
64.7,3251.0342115204753,6579.518460000001
