x,y_pred,y_true_trend
50.0,3268.683413532744,3252.0
50.1,3285.2720488596133,3269.53202
50.2,3302.584573471081,3287.1281600000007
50.3,3320.1514996007095,3304.7885399999996
50.4,3336.444825143517,3322.5132799999997
50.5,3354.737502789005,3340.3025000000002
50.6,3371.7640981556056,3358.1563200000005
50.7,3388.424162876944,3376.0748600000006
50.8,3407.1666532453573,3394.05824
50.9,3422.911724622147,3412.1065799999997
51.0,3440.5294206364665,3430.2200000000003
51.1,3458.147015389355,3448.3986200000004
51.2,3475.1056296846837,3466.6425600000007
51.3,3492.334683842963,3484.95194
51.4,3509.816325913573,3503.3268799999996
51.5,3526.92371240142,3521.7675
51.6,3544.195030151896,3540.2739200000005
51.7,3561.6062054826743,3558.8462600000007
51.8,3578.6596526899984,3577.4846399999997
51.9,3596.0239784030255,3596.1891800000003
52.0,3613.0679634229723,3614.96
52.1,3630.817724676307,3633.79722
52.2,3647.2358771569384,3652.70096
52.3,3664.7155054240316,3671.67134
52.4,3681.887790755841,3690.70848
52.5,3698.5853403722213,3709.8125
52.6,3717.368767689473,3728.9835199999998
52.7,3733.773845407864,3748.2216600000006
52.8,3751.643744809438,3767.52704
52.9,3768.7929461615868,3786.8997799999997
53.0,3786.3660132634773,3806.34
53.1,3802.954648590346,3825.8478200000004
53.2,3820.267173201814,3845.4233600000007
53.3,3837.8340993314428,3865.0667399999993
53.4,3854.1274248742498,3884.7780799999996
53.5,3872.4201025197376,3904.5575
53.6,3889.446697886339,3924.4051200000004
53.7,3906.106762607677,3944.3210600000007
53.8,3924.84925297609,3964.3054399999996
53.9,3940.5943243528804,3984.3583799999997
54.0,3958.2120203671993,4004.4800000000005
54.1,3975.829615120088,4024.6704200000004
54.2,3992.788229415417,4044.929760000001
54.3,4010.0172835736957,4065.2581399999995
54.4,4027.498925644306,4085.6556799999994
54.5,4044.606312132153,4106.1225
54.6,4061.8776298826288,4126.65872
54.7,4079.288805213407,4147.26446
54.8,4096.342252420732,4167.939839999999
54.9,4113.706578133759,4188.68498
55.0,4130.750563153705,4209.5
55.1,4148.50032440704,4230.385020000001
55.2,4164.918476887672,4251.340160000001
55.3,4182.398105154764,4272.36554
55.4,4199.570390486574,4293.4612799999995
55.5,4216.2679401029545,4314.6275000000005
55.6,4235.051367420206,4335.864320000001
55.7,4251.456445138598,4357.17186
55.8,4269.326344540172,4378.55024
55.9,4286.47554589232,4399.99958
56.0,4304.048612994211,4421.52
